Unique Merchant SKU	Product Name	Product URL	Image URL	Current Price	Stock Availability	Condition	EAN	UPC	ISBN	MPN	Shipping Rate	Original Price	Coupon Code	Coupon Code Description	Manufacturer	Product Description	Product Type	Category	Category ID	Parent SKU	Parent Name	Top Seller Rank	Estimated Ship Date	Gender	Color	Material	Size	Size Unit of Measure	Age Range	Cell Phone Plan Type	Cell Phone Service Provider	Stock Description	Product Launch Date	Product Bullet Point 1	Product Bullet Point 2	Product Bullet Point 3	Product Bullet Point 4	Product Bullet Point 5	Alternative Image URL 1	Alternative Image URL 2	Alternative Image URL 3	Alternative Image URL 4	Alternative Image URL 5	Mobile URL	Related Products	Merchandising Type	Product Weight	Zip Code	Shipping Weight	Weight Unit of Measure	Format	Unit Price	Bundle	Software Platform	Watch Display Type	ProductBid	Text1	Text2	Text3	Numeric1	Numeric2	Numeric3	Money1	Money2	Money3	Currency	Shipping Region	Labels	Promotion
7229266	Alicia Witt	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7229266&u=https%3A%2F%2Fwww.vividseats.com%2Falicia-witt-tickets-portland-jack-london-revue-9-30-2026%2Fproduction%2F7229266%3Futm_term%3Dproduction-7229266&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/17-pop/pop-tickets-1.jpg	71.00														Concert																																							Jack London Revue	Portland	529 SW 4th Ave, Portland, OR 97204	52.62	61.53		93.50	71.00	71.00	USD			
7080401	Alistair Odgen	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7080401&u=https%3A%2F%2Fwww.vividseats.com%2Falistair-odgen-tickets-portland-helium-comedy-club---portland-12-16-2026--theater-comedy%2Fproduction%2F7080401%3Futm_term%3Dproduction-7080401&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/11-comedy/comedy-tickets-1.jpg	56.00														Theater																																							Helium Comedy Club - Portland	Portland	1510 SE 9th Ave, Portland, OR 97214	41.50	48.53		61.38	56.00	56.00	USD			
7489614	Alix Perez	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7489614&u=https%3A%2F%2Fwww.vividseats.com%2Falix-perez-tickets-portland-the-den---portland-11-13-2026%2Fproduction%2F7489614%3Futm_term%3Dproduction-7489614&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/60-dance-electronica/dance-electronica-tickets-1.jpg	71.00														Concert																																							The Den - Portland	Portland	116 SE Yamhill St, Portland, OR 97217	52.62	61.53		71.00	71.00	71.00	USD			
7138954	Allan Rayman	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7138954&u=https%3A%2F%2Fwww.vividseats.com%2Fallan-rayman-tickets-portland-mcmenamins-mission-theater-10-18-2026%2Fproduction%2F7138954%3Futm_term%3Dproduction-7138954&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/74-alternative/alternative-tickets-1.jpg	111.00														Concert																																							McMenamins Mission Theater	Portland	1624 NW Glisan, Portland, OR 97209	82.27	96.19		149.28	111.00	111.00	USD			
7416659	Allison Russell	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7416659&u=https%3A%2F%2Fwww.vividseats.com%2Fallison-russell-tickets-portland-mcmenamins-crystal-ballroom-11-12-2026--concerts-rb%2Fproduction%2F7416659%3Futm_term%3Dproduction-7416659&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/15-rap-hip-hop/rap-hip-hop-tickets-1.jpg	55.00														Concert																																							McMenamins Crystal Ballroom	Portland	1332 West Burnside St, Portland, OR 97209	40.76	47.66		116.48	55.00	55.00	USD			
7039780	Altan	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7039780&u=https%3A%2F%2Fwww.vividseats.com%2Faltan-tickets-portland-alberta-rose-theatre-10-19-2026--concerts-country-and-folk%2Fproduction%2F7039780%3Futm_term%3Dproduction-7039780&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/14-country-folk/country-folk-tickets-1.jpg	64.00														Concert																																							Alberta Rose Theatre	Portland	3000 NE Alberta St, Portland, OR 97211	47.43	55.46		64.00	64.00	64.00	USD			
7080573	Alter Bridge	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7080573&u=https%3A%2F%2Fwww.vividseats.com%2Falter-bridge-tickets-portland-roseland-theater-11-24-2026--concerts-rock%2Fproduction%2F7080573%3Futm_term%3Dproduction-7080573&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/18-rock/rock-tickets-1.jpg	91.00														Concert																																							Roseland Theater	Portland	6 NW 6th Avenue, Portland, OR 97209	67.44	78.86		149.50	91.00	91.00	USD			
7025055	Amber Autry	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7025055&u=https%3A%2F%2Fwww.vividseats.com%2Famber-autry-tickets-portland-revolution-hall-portland-12-4-2026%2Fproduction%2F7025055%3Futm_term%3Dproduction-7025055&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/11-comedy/comedy-tickets-1.jpg	247.00														Theater																																							Revolution Hall Portland	Portland	1300 SE Stark Street #110, Portland, OR 97214	183.06	214.04		247.00	247.00	247.00	USD			
7037846	Amber Autry	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7037846&u=https%3A%2F%2Fwww.vividseats.com%2Famber-autry-tickets-portland-revolution-hall-portland-12-4-2026%2Fproduction%2F7037846%3Futm_term%3Dproduction-7037846&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/11-comedy/comedy-tickets-1.jpg	136.00														Theater																																							Revolution Hall Portland	Portland	1300 SE Stark Street #110, Portland, OR 97214	100.80	117.85		136.00	136.00	136.00	USD			
7162978	American Aquarium	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7162978&u=https%3A%2F%2Fwww.vividseats.com%2Famerican-aquarium-tickets-portland-aladdin-theater-9-19-2026%2Fproduction%2F7162978%3Futm_term%3Dproduction-7162978&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/14-country-folk/country-folk-tickets-1.jpg	53.00														Concert																																							Aladdin Theater	Portland	3017 SE Milwaukie Ave, Portland, OR 97202	39.28	45.93		53.00	53.00	53.00	USD			
